CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
MILS 176 (55553),US Military History,"American Studies (Pathway), Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARSI 231,"Ryan, Elizabeth Jordyn",3.00,19
MUSC 134 (55782),"Pop Music, Race & Amer Culture","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 10:20 AM - 12pm,MDF 119,"Zanfagna, Christina M",5.00,None
PHIL 33 (54826),Ethics and Race,"American Studies (Pathway), Applied Ethics (Pathway), Race Place & Soc Inequalities (Pathway), Ethics",TR 02:00 PM - 3:40pm,CASA 8,"Clardy, Justin",4.00,1
POLI 1 (54897),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,OCONR 207,"Chen, Elsa Y",4.00,12
POLI 1 (54895),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",TR 10:20 AM - 12pm,KENNA 304,"Baker, Anne Elizabeth",4.00,22
POLI 1 (54889),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 10:30 AM - 11:35am,KENNA 111,"Cheikhali, Sarah",4.00,22
POLI 1 (54890),Introduction to U.S. Politics,"American Studies (Pathway), Democracy (Pathway), Civic Engagement",MWF 11:45 AM - 12:50pm,KENNA 111,"Harrigan, Matthew Thomas",4.00,2
POLI 195L (55803),Seminar in US Politics,"American Studies (Pathway), Law & Social Justice (Pathway)",T 03:50 PM - 7:05pm,VARSI 114,"Peretti, Terri L",5.00,None
RSOC 51 (56197),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 04:45 PM - 5:50pm,KENNA 105,"Lampley, Karl Willie",4.00,None
RSOC 61 (54962),Nonreligion in America,"American Studies (Pathway), Religion Theology & Culture 2",TR 03:50 PM - 5:30pm,CASA 7,"Drescher, Elizabeth",4.00,1
RSOC 128 (55818),Religion and Popular Culture,"American Studies (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,CASA 7,"Drescher, Elizabeth",5.00,1
RSOC 128 (55817),Religion and Popular Culture,"American Studies (Pathway), Religion Theology & Culture 3",TR 10:20 AM - 12pm,OCONR 103,"Drescher, Elizabeth",5.00,1
SOCI 175 (55837),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,OCONR 102,"Di, Di",5.00,None
WGST 56 (55851),American Literature and Women,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 105,"Edelstein, Marilyn J",4.00,13
WGST 138 (55899),Gay/Lesbians in U.S. History,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,MDF 119,"Unger, Nancy C",5.00,1
WGST 168 (56370),Gender/Sex/Social Movt 20th US,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Civic Engagement, Diversity",TR 03:50 PM - 5:30pm,HEAFEY 225,"Gomez, Sonia",5.00,3
BIOL 171 (54220),Soc/Ethical Dimensions Biotech,"Applied Ethics (Pathway), Design Thinking (Pathway), Values Science Technology (Pathway), Religion Theology & Culture 3, Science Technology & Society",MWF 01:00 PM - 2:05pm,SCDI 1301,"Miller, Leilani M",5.00,None
COMM 167 (54442),Communication Law,"Applied Ethics (Pathway), Democracy (Pathway), Civic Engagement",MWF 04:45 PM - 5:50pm,ALMSC 120,"Davis, Lisa D",5.00,1
ENGL 108 (55732),Writing in STEM,"Applied Ethics (Pathway), Values Science Technology (Pathway), Advanced Writing, Science Technology & Society",MW 03:30 PM - 5:15pm,ALAM 105,"Carroll, Stephen B",5.00,17
HIST 21 (56372),Human Rights & Humanitariansm,"Applied Ethics (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 10:20 AM - 12pm,ALAM 108,"Specter, Matthew",4.00,3
HIST 121 (56373),Human Rights & Humanitariansm,"Applied Ethics (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 10:20 AM - 12pm,ALAM 108,"Specter, Matthew",5.00,3
MGMT 6 (55179),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MW 03:30 PM - 5:15pm,VARI 135,"Frontczak, Deirdre Mary Sheen",4.00,None
MGMT 6 (55180),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MW 05:25 PM - 7:10pm,VARI 135,"Frontczak, Deirdre Mary Sheen",4.00,5
MGMT 6 (56339),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 08:30 AM - 10:10am,LUCAS 306,"Holzmeister, Angela Elizabeth",4.00,None
MGMT 6 (55200),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 10:20 AM - 12pm,VARI 133,"Santoro, Michael Anthony",4.00,3
MGMT 6 (55205),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 12:10 PM - 1:50pm,VARI 133,"Santoro, Michael Anthony",4.00,1
MGMT 178 (55867),Business and Human Rights,"Applied Ethics (Pathway), Human Rights (Pathway), Sustainability (Pathway)",TR 03:50 PM - 5:30pm,LUCAS 307,"Santoro, Michael Anthony",5.00,17
PHIL 22 (55786),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",TR 08:30 AM - 10:10am,CASA 8,"Kennedy, Susan",4.00,None
PHIL 22H (54825),Ethics in the Digital Age-Hnrs,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",TR 12:10 PM - 1:50pm,KENNA 304,"Kennedy, Susan",4.00,None
PHIL 26 (54817),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 01:00 PM - 2:05pm,KENNA 308,"Sars, Nicholas",4.00,None
PHIL 26 (54824),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 02:15 PM - 3:20pm,KENNA 308,"Sars, Nicholas",4.00,None
PHIL 29 (54818),Ethics and the Environment,"Applied Ethics (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Ethics",TR 02:00 PM - 3:40pm,OCONR 205,"Dill, Kimberly Mae",4.00,3
PHIL 30 (54822),Ethics and the Law,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",MWF 04:45 PM - 5:50pm,CASA 8,"Nelson, Lawrence J",4.00,4
PHIL 121 (55789),Political Philosophy & Ethics,"Applied Ethics (Pathway), Ethics",MWF 02:15 PM - 3:20pm,OCONR 201,"Rogers, Tristan",5.00,3
POLI 30 (54906),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 01:00 PM - 2:05pm,KENNA 111,"Minowitz, Peter I",4.00,None
POLI 30 (54892),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 11:45 AM - 12:50pm,KENNA 105,"Meredith, Thomas",4.00,15
RSOC 135 (55819),Architects of Solidarity,"Applied Ethics (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",MW 03:30 PM - 6pm,GRAHAM 163,"Riley, Philip W",5.00,None
SCTR 39 (55821),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,KENNA 105,"Gibson, Diana C",4.00,12
SCTR 128 (54973),Human Suffering & Hope,"Applied Ethics (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",MWF 11:45 AM - 12:50pm,ALMSC 302,"Gibson, Diana C",5.00,None
TESP 26 (54991),Sustainable Theologies,"Applied Ethics (Pathway), Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Religion Theology & Culture 2",MWF 01:00 PM - 2:05pm,CASA 7,"Schutz, Paul James",4.00,None
TESP 119 (54988),"Theology, Sex & Relationships","Applied Ethics (Pathway), Religion Theology & Culture 3",TR 10:20 AM - 12pm,KENNA 214,"Peterson-Iyer, Karen",5.00,None
TESP 157 (55827),Ethics in Health Professions,"Applied Ethics (Pathway), Values Science Technology (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",TR 08:30 AM - 10:10am,KENNA 304,"McLean, Margaret",5.00,None
TESP 159 (56194),Ethics of War & Peace,"Applied Ethics (Pathway), Ethics, Religion Theology & Culture 3",MWF 02:15 PM - 3:20pm,KENNA 109,"DeCosse, David Edmund",5.00,None
WGST 47 (55850),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,KENNA 105,"Gibson, Diana C",4.00,12
ARTH 23 (55655),Art and Revolution,"Beauty (Pathway), Paradigm Shifts (Pathway)",TR 10:20 AM - 12pm,DOWD 208,"DeMaria, Blake",4.00,6
ARTH 166 (55658),From Emaki to Manga,"Beauty (Pathway), Gender, Sexuality & the Body (Pathway)",MW 03:30 PM - 5:15pm,DOWD 208,"Clydesdale, Heather D",5.00,9
ARTS 43 (54157),Basic Painting,"Beauty (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 320,"Detweiler, Robert K",4.00,None
ARTS 74 (55664),Basic Digital Imaging,"Beauty (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 302,"Heitmuller, Danielle",4.00,None
ARTS 74 (55661),Basic Digital Imaging,"Beauty (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Arts",MW 08:00 AM - 10:20am,DOWD 304,"Martin, Michael",4.00,None
ARTS 74 (55662),Basic Digital Imaging,"Beauty (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 304,"Martin, Michael",4.00,None
ARTS 143 (55665),Intermediate Painting,"Beauty (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 320,"Detweiler, Robert K",5.00,None
MUSC 9 (54806),Intro to Listening: Electronic,"Beauty (Pathway), Arts",TR 03:50 PM - 5:30pm,MDF 231,"Suzuki, Kaori",4.00,2
SCTR 111 (55822),Bible & Ecology,"Beauty (Pathway), Sustainability (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,OCONR 201,"Schutz, Paul James",5.00,None
THTR 133 (55842),Scene Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,MAYER LIB,"Kenyon, Heather",5.00,14
CHST 75 (55565),Technology and Education,"Children, Family, & Society (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,GRAHAM 163,"Day, Elizabeth B",4.00,None
CHST 106 (55569),Urban Educ & Multiculturalism,"Children, Family, & Society (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity, Experiential Learning for Social Justice",T 03:50 PM - 6:50pm,ALMSC 120,"Woodyard, Savina",5.00,None
DANC 59 (54383),Teaching the Performing Arts,"Children, Family, & Society (Pathway), Justice and the Arts (Pathway), Arts, Civic Engagement, Experiential Learning for Social Justice",TR 08:30 AM - 10:10am,MAYER RH,"Kusanovich, Kristin A",4.00,None
DANC 159 (54384),Teaching the Performing Arts,"Children, Family, & Society (Pathway), Justice and the Arts (Pathway), Arts, Civic Engagement, Experiential Learning for Social Justice",TR 08:30 AM - 10:10am,MAYER RH,"Kusanovich, Kristin A",5.00,None
PSYC 172 (55812),Adolescent Development,"Children, Family, & Society (Pathway)",MWF 09:15 AM - 10:20am,ALMSC 220,"O'Brien, Barbara S",5.00,None
PSYC 185EL (54932),Developmental Psychology  ELSJ,"Children, Family, & Society (Pathway), Experiential Learning for Social Justice",MWF 01:00 PM - 2:05pm,ALAM 104,"Bhagwat, Jui",5.00,None
PSYC 185EL (54931),Developmental Psychology  ELSJ,"Children, Family, & Society (Pathway), Experiential Learning for Social Justice",MWF 09:15 AM - 10:20am,ALAM 105,"Bhagwat, Jui",5.00,None
COMM 30 Lab (56443),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 01:00 PM - 2:30pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 (54424),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 02:00 PM - 3:40pm,VARI 109,"Whalen, Michael",5.00,None
COMM 30 Lab (56444),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 03:00 PM - 4:30pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 Lab (54431),Digital Filmmaking Lab,"Cinema Studies (Pathway), Arts",T 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 Lab (54433),Digital Filmmaking Lab,"Cinema Studies (Pathway), Arts",R 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 (56442),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,VARI 109,"Reese, Emily Ray",5.00,None
COMM 30 Lab (54432),Digital Filmmaking Lab,"Cinema Studies (Pathway), Arts",R 10:30 AM - 12pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 Lab (56445),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",F 10:30 AM - 12pm,VARI 102,"Silva, Fernando A.",N/A,1
COMM 130 (54427),Screenwriting,"Cinema Studies (Pathway), Advanced Writing",TR 08:30 AM - 10:10am,VARI 109,"Reese, Emily Ray",5.00,3
COMM 144 (54439),Diversity and Media,"Cinema Studies (Pathway), Diversity",MWF 02:15 PM - 3:20pm,ALAM 105,"Kratz, Charlotta K",5.00,1
ENGL 173 (54344),Screenwriting,"Cinema Studies (Pathway), Arts",TR 12:10 PM - 1:50pm,KENNA 105,"Lacrampe, Jean-Pierre G",5.00,None
FREN 175 (55771),Transnational Cinema,"Cinema Studies (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Justice and the Arts (Pathway)",TR 12:10 PM - 1:50pm,KENNA 109,"Boutouba, Jimia",5.00,5
THTR 173 (55021),Screenwriting,"Cinema Studies (Pathway), Arts",TR 12:10 PM - 1:50pm,KENNA 105,"Lacrampe, Jean-Pierre G",5.00,None
THTR 173B (55029),Screenwriting,"Cinema Studies (Pathway), Advanced Writing",TR 08:30 AM - 10:10am,VARI 109,"Reese, Emily Ray",5.00,3
CHST 4 (55568),Cultural Competence & Humility,"Democracy (Pathway), Civic Engagement, Diversity",MWF 04:45 PM - 5:50pm,GRAHAM 164,"Bookser, Brita",4.00,None
COMM 157 (55709),Environmental Communication,"Democracy (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 09:15 AM - 10:20am,KENNA 218,"Raphael, Charles H",5.00,1
ENGL 145EL (56182),Victorian Literature,"Democracy (Pathway), Civic Engagement, Experiential Learning for Social Justice",TR 12:10 PM - 1:50pm,HEAFEY 225,"Pfeiffer, Loring A",5.00,2
ETHN 165 (56027),Community Based Rsch Methods,"Democracy (Pathway), Civic Engagement, Diversity",TR 10:20 AM - 12pm,DOWD 206,"Fernandez, Jesica Siham",5.00,4
HIST 30 (55757),"French Revolution, an Intro","Democracy (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 03:50 PM - 5:30pm,OCONR 204,"Andrews, Naomi J",4.00,4
HIST 33 (54534),What Democracy Looks Like,"Democracy (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,MDF 119,"Specter, Matthew",4.00,12
HIST 103 (54529),What Democracy Looks Like,"Democracy (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,MDF 119,"Specter, Matthew",5.00,12
HIST 131 (55761),Britain & the First World War,"Democracy (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,DOWD 210,"Newsom Kerr, Matthew L.",5.00,8
POLI 2 (54899),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 08:30 AM - 10:10am,VARI 133,"Curry, Jane L",4.00,35
POLI 2 (54894),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 09:15 AM - 10:20am,KENNA 105,"Morlang, Diana",4.00,None
POLI 2 (54898),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 10:30 AM - 11:35am,KENNA 105,"Faulve-Montojo, Kenneth Wilfred",4.00,1
POLI 2 (54900),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 12:10 PM - 1:50pm,KENNA 111,"Senzai, Farid D",4.00,None
POLI 116A (54896),Model UN Research Prep,"Democracy (Pathway), Civic Engagement",M 04:45 PM - 7:10pm,OCONR 204,"Faulve-Montojo, Kenneth Wilfred",2.00,2
POLI 150AW (55801),The U.S. Presidency,"Democracy (Pathway), Advanced Writing",TR 02:00 PM - 3:40pm,KENNA 304,"Baker, Anne Elizabeth",5.00,2
POLI 151 (54915),The U.S. Congress,"Democracy (Pathway), Civic Engagement",MWF 02:15 PM - 3:20pm,ALMSC 120,"Harrigan, Matthew Thomas",5.00,10
POLI 198A (54901),Public Sector Study & Intern,"Democracy (Pathway), Civic Engagement",M 04:45 PM - 7:10pm,VARSI 231,"Harrigan, Matthew Thomas",5.00,11
SOCI 122 (55829),Applied  Capstone,"Democracy (Pathway), Vocation (Pathway), Advanced Writing, Civic Engagement",F 03:30 PM - 6:50pm,OCONR 204,"Chiaraluce, Cara Ann",5.00,None
WGST 76 (55033),Violence Against Women,"Democracy (Pathway), Gender, Sexuality & the Body (Pathway), Civic Engagement",W 05:25 PM - 8:40pm,ONLINE,"Sharangpani, Mukta H",4.00,None
ANTH 50 (54149),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",TR 05:40 PM - 7:20pm,KENNA 306,"Trist, Carolyn",4.00,None
ARTS 75 (54161),Basic Graphic Design,"Design Thinking (Pathway), Arts",MW 01:00 PM - 3:20pm,DOWD 302,"Li, Qiuwen",4.00,None
ARTS 155 (55667),Photography in the Community,"Design Thinking (Pathway), Arts, Experiential Learning for Social Justice",TR 02:00 PM - 4:20pm,DOWD 310,"Billingslea, Renee",5.00,None
CENG 119 (55879),Design Sustainable Construct,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",T 05:10 PM - 8pm,SCDI 3302,"Schatzman, Andy",3.00,4
COEN 10 (55414),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,SCDI 2301,"Choi, Sean",4.00,None
COEN 21 (55367),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 08:30 AM - 10:10am,SCDI 3301,"Chan, Donald",4.00,None
COEN 21 (55368),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 10:20 AM - 12pm,HEAFEY 122,"Ogunfunmi, Tokunbo",4.00,5
COEN 21 (55384),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,DALY 207,"Grover, Radhika",4.00,None
COEN 21L (55359),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,None
COEN 21L (55369),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,1
COEN 21L (55412),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,None
COEN 21L (55642),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,None
COEN 21L (55360),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 05:15 PM - 8pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,None
COEN 21L (55385),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 05:15 PM - 8pm,SCDI 4001,"Ogunfunmi, Tokunbo",1.00,None
COMM 12 (54416),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 01:00 PM - 2:05pm,KENNA 107,"Pustelnik, Grant",4.00,1
COMM 12 (54440),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 03:30 PM - 4:35pm,KENNA 107,"Pustelnik, Grant",4.00,None
CSCI 10 Lab (54400),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 03:50 PM - 5:30pm,OCONR 209,"Nhan, Anh Thai",N/A,2
CSCI 10 Lab (54401),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 05:40 PM - 7:20pm,OCONR 209,"Nhan, Anh Thai",N/A,2
CSCI 10 Lab (54410),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",R 05:40 PM - 7:20pm,OCONR 209,"Nhan, Anh Thai",N/A,None
CSCI 10 (54398),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 10:30 AM - 11:35am,OCONR 207,"Shaghaghi, Navid",5.00,1
CSCI 10 (54399),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,OCONR 207,"Shaghaghi, Navid",5.00,None
ECON 1 (55124),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 01:00 PM - 2:05pm,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (55119),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 02:00 PM - 3:40pm,KENNA 218,"Shin, Dongsoo",4.00,None
ECON 1 (55125),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 02:15 PM - 3:20pm,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (55620),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 02:15 PM - 3:20pm,KENNA 214,"Hasanaliyev, Orkhan",4.00,None
ECON 1 (55136),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 03:30 PM - 4:35pm,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
